municipality,zip_code,age,gender,state,municipality_type
Unknown,02382,63,F,MA,state
Unknown,33837,85,F,FL,state
Unknown,02492,63,M,MA,state
Unknown,32163,62,M,FL,state
Unknown,33573,56,F,FL,state
Town Of Weymouth,34229,24,M,FL,municipal
Unknown,34683,25,F,FL,state
Unknown,32065,54,F,FL,state
Unknown,34759,20,F,FL,state
Unknown,30044,60,F,GA,state
Unknown,01757,58,F,MA,state
Unknown,83864,62,F,ID,state
City Of Springfield,78633,61,F,TX,municipal
Unknown,34787,64,F,FL,state
Unknown,30179,58,F,GA,state
Unknown,28409,10,F,NC,state
Unknown,77406,54,F,TX,state
Unknown,12065,42,F,NY,state
Unknown,82414,5,M,WY,state
Unknown,02150,33,M,MA,state
Unknown,34286,51,F,FL,state
Unknown,20152,47,F,VA,state
Unknown,85213,62,F,AZ,state
Unknown,37918,43,F,TN,state
Unknown,27518,16,M,NC,state
Unknown,33990,60,F,FL,state
Unknown,32780,25,M,FL,state
Unknown,19958,60,M,DE,state
Unknown,34269,61,M,FL,state
Unknown,12029,52,F,NY,state
Unknown,40004,52,M,KY,state
Unknown,01940,62,F,MA,state
Unknown,01604,62,F,MA,state
Unknown,13321,55,M,NY,state
Unknown,32080,17,F,FL,state
Unknown,02351,58,M,MA,state
Unknown,02351,58,M,MA,state
Unknown,78723,34,F,TX,state
Unknown,02359,49,F,MA,state
Unknown,26201,59,M,WV,state
Unknown,33952,25,M,FL,state
Unknown,01040,56,F,MA,state
Unknown,76131,64,F,TX,state
Unknown,37711,64,F,TN,state
Unknown,32833,61,M,FL,state
Unknown,33777,88,F,FL,state
Unknown,34482,60,F,FL,state
Town Of Framingham,77578,24,F,TX,municipal
Unknown,97401,29,F,OR,state
Unknown,92131,64,M,CA,state
Unknown,01453,55,M,MA,state
Unknown,33062,57,M,FL,state
Unknown,24012,53,M,VA,state
Unknown,33966,61,M,FL,state
Town Of Lexington,28518,24,M,NC,municipal
Unknown,60119,58,F,IL,state
Unknown,34714,24,F,FL,state
Unknown,12521,22,M,NY,state
Unknown,12094,63,M,NY,state
Town Of Wakefield,29588,51,F,SC,municipal
Unknown,34997,24,F,FL,state
Unknown,34110,64,F,FL,state
Unknown,33914,63,M,FL,state
Unknown,29934,76,M,SC,state
Unknown,33483,61,M,FL,state
Unknown,33881,62,M,FL,state
Unknown,34211,22,M,FL,state
Unknown,33946,64,F,FL,state
Unknown,02215,28,F,MA,state
Unknown,78245,57,M,TX,state
Unknown,02780,20,M,MA,state
Unknown,29644,63,M,SC,state
Unknown,12090,34,M,NY,state
Unknown,30680,61,M,GA,state
Unknown,01108,20,M,MA,state
Unknown,29576,42,F,SC,state
Unknown,01603,62,M,MA,state
Unknown,33896,62,F,FL,state
Unknown,34212,61,F,FL,state
Unknown,44023,79,F,OH,state
Unknown,02740,63,F,MA,state
Unknown,01464,23,F,MA,state
Unknown,29588,59,F,SC,state
Unknown,29588,59,F,SC,state
Unknown,33563,62,F,FL,state
Unknown,33947,54,F,FL,state
Unknown,30014,5,F,GA,state
Unknown,02026,63,F,MA,state
Unknown,33484,63,F,FL,state
City Of Lowell,33755,61,F,FL,municipal
Unknown,98144,62,F,WA,state
Unknown,33172,80,F,FL,state
Unknown,85267,64,M,AZ,state
Unknown,97221,87,F,OR,state
Unknown,32080,52,M,FL,state
City Of Lawrence,29175,47,M,SC,municipal
Unknown,37067,59,M,TN,state
City Of Springfield,34114,63,M,FL,municipal
City Of Lawrence,28467,20,M,NC,municipal
Unknown,34759,50,M,FL,state
Unknown,49304,75,F,MI,state
Unknown,29526,66,M,SC,state
Unknown,02134,25,F,MA,state
Unknown,11426,59,F,NY,state
Unknown,92625,25,M,CA,state
Unknown,34484,59,M,FL,state
Unknown,33776,63,M,FL,state
Unknown,02359,52,F,MA,state
Unknown,34104,11,F,FL,state
Unknown,32796,44,M,FL,state
Unknown,01604,31,M,MA,state
Unknown,32765,61,F,FL,state
Unknown,33710,1,M,FL,state
Unknown,32148,76,F,FL,state
Unknown,32940,60,F,FL,state
Unknown,24121,63,F,VA,state
Unknown,32951,50,F,FL,state
Unknown,34238,23,M,FL,state
Unknown,06255,57,F,CT,state
Unknown,29154,60,M,SC,state
Unknown,31322,65,M,GA,state
Unknown,33976,25,M,FL,state
Unknown,33993,54,F,FL,state
Unknown,67114,58,F,KS,state
Unknown,34698,62,F,FL,state
Unknown,75028,32,F,TX,state
Unknown,32832,72,F,FL,state
Unknown,02180,40,F,MA,state
Unknown,02919,59,F,RI,state
Unknown,15632,3,M,PA,state
Unknown,02767,64,M,MA,state
Unknown,28562,17,F,NC,state
Unknown,10990,56,F,NY,state
Unknown,34997,90,F,FL,state
Unknown,32095,19,F,FL,state
Unknown,21077,23,F,MD,state
Unknown,32095,16,F,FL,state
Unknown,27278,63,F,NC,state
Town Of Lynnfield,01940,61,F,MA,municipal
Unknown,34759,58,F,FL,state
Unknown,33947,64,F,FL,state
Unknown,32164,45,F,FL,state
Unknown,23831,23,M,VA,state
Unknown,32963,61,F,FL,state
City Of Springfield,80504,64,F,CO,municipal
Unknown,90807,62,F,CA,state
Unknown,29575,64,M,SC,state
Unknown,34786,45,F,FL,state
Unknown,34786,45,F,FL,state
Unknown,34769,60,M,FL,state
Unknown,92620,24,M,CA,state
City Of Lawrence,29175,47,F,SC,municipal
Unknown,33319,23,F,FL,state
Unknown,34773,57,M,FL,state
Unknown,28739,62,F,NC,state
Unknown,33458,33,M,FL,state
City Of Lawrence,33707,82,M,FL,municipal
Unknown,30519,25,M,GA,state
Unknown,50265,57,F,IA,state
Unknown,12866,59,F,NY,state
Unknown,32935,63,M,FL,state
Unknown,37040,22,M,TN,state
Unknown,01778,62,M,MA,state
Unknown,34480,62,M,FL,state
Unknown,34771,37,F,FL,state
Unknown,02893,22,M,RI,state
Town Of Weymouth,02043,60,M,MA,municipal
Unknown,32746,52,M,FL,state
Unknown,02762,12,M,MA,state
Unknown,02766,50,M,MA,state
Unknown,33936,81,F,FL,state
Unknown,77095,65,F,TX,state
Town Of Weymouth,34229,54,M,FL,municipal
Unknown,34240,4,M,FL,state
Unknown,33981,64,F,FL,state
Unknown,65807,58,M,MO,state
Unknown,94043,55,M,CA,state
Unknown,10710,41,F,NY,state
Unknown,29349,60,M,SC,state
Unknown,30132,64,M,GA,state
Unknown,29544,24,M,SC,state
Unknown,37040,53,M,TN,state
Unknown,34203,25,F,FL,state
City Of Lawrence,75019,94,F,TX,municipal
Unknown,01253,55,M,MA,state
Unknown,30062,72,M,GA,state
Unknown,12065,64,M,NY,state
Unknown,29902,62,M,SC,state
Unknown,34952,61,F,FL,state
Unknown,34952,61,F,FL,state
Unknown,32958,62,M,FL,state
Unknown,33710,37,F,FL,state
Unknown,12210,59,F,NY,state
Unknown,14098,78,F,NY,state
Unknown,29585,61,F,SC,state
Unknown,02332,62,M,MA,state
Unknown,99709,78,M,AK,state
Unknown,34788,17,F,FL,state
Unknown,34201,76,F,FL,state
Unknown,38572,62,M,TN,state
Unknown,30064,60,M,GA,state
Unknown,34293,20,F,FL,state
Unknown,33908,81,F,FL,state
Unknown,92683,29,M,CA,state
Unknown,78641,7,M,TX,state
Unknown,02035,53,F,MA,state
Unknown,10032,59,F,NY,state
Unknown,33428,63,F,FL,state
Unknown,34431,21,F,FL,state
Unknown,32129,60,F,FL,state
Unknown,85067,72,F,AZ,state
Unknown,07024,40,M,NJ,state
Unknown,77429,60,F,TX,state
Unknown,13416,63,F,NY,state
Unknown,29710,50,F,SC,state
Unknown,08108,2,F,NJ,state
Unknown,34231,25,F,FL,state
Unknown,29577,64,F,SC,state
Unknown,37067,60,F,TN,state
Unknown,76058,59,F,TX,state
Unknown,10026,63,F,NY,state
Unknown,30045,57,F,GA,state
Unknown,34114,63,M,FL,state
Unknown,12477,63,M,NY,state
Unknown,34481,74,M,FL,state
Unknown,34652,58,M,FL,state
Unknown,33308,63,F,FL,state
Town Of Framingham,37327,19,F,TN,municipal
Unknown,34691,90,M,FL,state
Unknown,33478,25,F,FL,state
Unknown,29708,66,M,SC,state
Unknown,01082,62,M,MA,state
Unknown,89044,76,F,NV,state
Unknown,02481,63,M,MA,state
Unknown,32778,88,F,FL,state
Unknown,33777,84,F,FL,state
Unknown,85022,64,F,AZ,state
Unknown,34957,17,M,FL,state
Unknown,32084,59,M,FL,state
Unknown,85083,64,F,AZ,state
Unknown,60565,55,F,IL,state
Unknown,29708,66,F,SC,state
Unknown,33436,62,M,FL,state
Unknown,84117,56,M,UT,state
Unknown,01056,51,M,MA,state
Town Of Holbrook,34287,64,F,FL,municipal
Unknown,33496,63,M,FL,state
Unknown,29511,58,M,SC,state
Unknown,33848,51,F,FL,state
Unknown,64055,56,M,MO,state
Unknown,01108,18,M,MA,state
Unknown,33957,81,M,FL,state
Unknown,02152,63,F,MA,state
Unknown,34202,78,M,FL,state
Unknown,19083,51,F,PA,state
Unknown,30518,62,F,GA,state
Unknown,32746,52,F,FL,state
City Of Springfield,78633,60,M,TX,municipal
Unknown,12189,25,F,NY,state
Unknown,32951,81,F,FL,state
City Of Lawrence,33920,56,M,FL,municipal
Town Of Arlington,34145,86,M,FL,municipal
City Of Haverhill,03833,22,F,NH,municipal
Unknown,29585,75,F,SC,state
Unknown,33445,82,F,FL,state
Unknown,20815,74,F,MD,state
Unknown,29910,62,F,SC,state
Unknown,34609,73,M,FL,state
Unknown,28097,67,F,NC,state
Unknown,28451,58,M,NC,state
Unknown,99517,64,F,AK,state
Unknown,34714,24,M,FL,state
Unknown,12017,24,F,NY,state
Unknown,19401,98,F,PA,state
Unknown,33914,63,F,FL,state
Unknown,33069,57,F,FL,state
Unknown,11769,48,F,NY,state
City Of Lawrence,34744,24,M,FL,municipal
Unknown,14226,8,F,NY,state
Unknown,01002,6,M,MA,state
Unknown,33782,64,F,FL,state
Unknown,33955,60,F,FL,state
Unknown,37803,56,M,TN,state
Unknown,32259,63,M,FL,state
Unknown,28746,54,F,NC,state
Town Of Framingham,32081,62,F,FL,municipal
Unknown,29018,61,M,SC,state
Unknown,01085,58,F,MA,state
Unknown,34668,63,F,FL,state
Unknown,34275,55,F,FL,state
Unknown,34210,63,F,FL,state
Unknown,32766,64,M,FL,state
City Of Springfield,12983,80,M,NY,municipal
Unknown,01560,61,F,MA,state
Unknown,33062,55,M,FL,state
City Of Springfield,33460,11,F,FL,municipal
Unknown,33993,20,F,FL,state
Unknown,32958,64,F,FL,state
Unknown,43952,56,F,OH,state
Unknown,33976,23,M,FL,state
City Of Lawrence,33460,68,M,FL,municipal
City Of Somerville,12211,69,F,NY,municipal
Unknown,07024,6,F,NJ,state
